Node Id,Row Size (bytes),AverageHdfsReadThreadConcurrency,AverageScannerThreadConcurrency,BytesRead,BytesReadDataNodeCache,BytesReadLocal,BytesReadShortCircuit,DecompressionTime,MaxCompressedTextFileLength,NumColumns,NumDisksAccessed,NumScannerThreadsStarted,PeakMemoryUsage,PerReadThreadRawHdfsThroughput,RowsRead,RowsReturned,RowsReturnedRate,ScanRangesComplete,ScannerThreadsInvoluntaryContextSwitches,ScannerThreadsTotalWallClockTime,DelimiterParseTime,MaterializeTupleTime(*),ScannerThreadsSysTime,ScannerThreadsUserTime,ScannerThreadsVoluntaryContextSwitches,TotalRawHdfsReadTime(*),TotalReadThroughput,Parser Delimiter Cost (Bytes/NS),Materialize Tuple Cost (Bytes/NS)
11,29,0.20,1.00,28791932,0,28791932,28791932,0.0,0,0,1,1,37834968,77360000000.0,5380929,5380929,17990000.0,1,31,2376000000.0,0,2099000000.0,16997000.0,343947000.0,5160,354926000.0,10980000000.0,0.0,0.07584939179038018
11,29,0.25,1.00,25838666,0,25838666,25838666,0.0,0,0,1,1,33640664,74890000000.0,4823977,4823977,15080000.0,1,8,2159000000.0,0,1860000000.0,20996000.0,290955000.0,4625,329160000.0,12320000000.0,0.0,0.04213789435771932
11,29,0.25,1.00,19342861,0,19342861,19342861,0.0,0,0,1,1,29446360,43170000000.0,3599620,3599620,8940000.0,1,30,1868000000.0,0,1480000000.0,15997000.0,222966000.0,3415,427351000.0,9220000000.0,0.0,0.014448602076111003
11,29,0.00,1.00,6587847,0,6587847,6587847,0.0,0,0,1,1,14614528,24150000000.0,1195474,1195474,1950000.0,1,32,1152000000.0,0,545950000.0,7998000.0,78987000.0,1078,260132999.99999997,6280000000.0,0.0,0.002189713343712794
10,52,0.23,3.31,124786303,0,124786303,124786303,0.0,0,0,3,4,166526976,62590000000.0,10844596,10844596,16830000.0,4,47,21255000000.0,0,18407000000.0,45991000.0,1662000000.0,10799,1901000000.0,18310000000.0,0.0,0.034554076207646924
10,52,0.70,2.00,79191659,0,79191659,79191659,0.0,0,0,2,2,108273664,29830000000.0,6903614,6903614,15360000.0,2,17,9973000000.0,0,8791000000.0,14997000.0,974851000.0,6632,2531000000.0,15100000000.0,0.0,0.051167968344627154
10,52,0.60,2.00,84535346,0,84535346,84535346,0.0,0,0,3,3,108273664,35120000000.0,7334764,7334764,19070000.0,3,15,9952000000.0,0,8598000000.0,28994000.0,1060000000.0,6916,2295000000.0,16120000000.000002,0.0,0.04567646649944005
10,52,0.33,1.33,56665534,0,56665534,56665534,0.0,0,0,2,2,82976768,32340000000.000004,4917026,4917026,11320000.0,2,13,6032000000.0,0,4728000000.0,24995000.0,690894000.0,4695,1671000000.0,12010000000.0,0.0,0.02351750597771876
0,40,8.00,25.90,9610536940,0,9610536940,9610536940,0.0,0,0,8,35,1492660896,36250000000.0,383642074,20826860,816840.0,169,3291,822000000000.0,0,119000000000.0,22519000000.0,85000000000.0,423798,252000000000.0,285980000000.0,0.0,0.024053112310541927
0,40,11.03,18.81,9127946563,0,9127946563,9127946563,0.0,0,0,8,23,902374520,25320000000.0,364572117,19763801,776380.0,164,2137,579000000000.0,0,91000000000.0,7294000000.0,79000000000.0,278233,343000000000.0,275280000000.0,0.0,0.022246013692997172
0,40,9.62,12.02,8906211514,0,8906211514,8906211514,0.0,0,0,8,13,740777128,29200000000.0,355546638,19267520,782380.0,158,3523,364000000000.0,0,107000000000.0,8766000000.0,88000000000.0,326489,290000000000.0,277490000000.0,0.0,0.022533652056754293
0,40,7.12,23.35,8344543125,0,8344543125,8344543125,0.0,0,0,8,35,1348316336,39560000000.0,332770159,18067364,786280.0,146,3372,658000000000.0,0,99000000000.0,26007000000.0,72000000000.0,372724,201000000000.0,274220000000.00003,0.0,0.022655239910275283
4,29,0.00,1.00,28791932,0,28791932,28791932,0.0,0,0,1,1,37834968,1853440000000.0,5380929,5380929,21320000.0,1,9,2532000000.0,0,2302000000.0,6998000.0,336948000.0,5164,14841000.0,10980000000.0,0.0,0.2280993853885614
4,29,0.00,1.00,25838666,0,25838666,25838666,0.0,0,0,1,1,33640664,1935360000000.0,4823977,4823977,19660000.0,1,9,2235000000.0,0,2010000000.0,12998000.0,310952000.0,4621,12720000.0,9860000000.0,0.0,0.12040757896225106
4,29,0.00,1.00,19342861,0,19342861,19342861,0.0,0,0,1,1,29446360,1884160000000.0,3599620,3599620,10910000.0,1,12,1949000000.0,0,1636000000.0,20996000.0,224965000.0,3458,9806000.0,9220000000.0,0.0,0.02042247762727779
4,29,0.00,1.00,6587847,0,6587847,6587847,0.0,0,0,1,1,14614528,2160639999999.9998,1195474,1195474,2770000.0,1,21,977534000.0,0,550529000.0,2999000.0,82987000.0,1067,2911000.0,6280000000.0,0.0,0.0031503408337440783
3,12,0.00,1.00,88017,0,88017,88017,0.0,0,0,1,1,203136,2467840000000.0,7200,1800,36000.0,1,0,50259000.0,0,949635.0,0.0,999000.0,7,34720.0,167880859.375,0.0,0.007581860398995404
2,29,0.00,0.00,112154,0,112154,112154,0.0,0,0,1,1,192328,2099199999999.9998,1350,76,211.0,1,0,56389000.0,0,138859.0,0.0,0.0,7,51310.0,0.0,0.0,0.0097220921942402
1,12,0.00,0.00,555057,0,555057,555057,0.0,0,0,1,1,1370112,14860000000.0,73049,314,680.0,1,0,79748000.0,0,6266000.0,1999000.0,4999000.0,7,35632000.0,0.0,0.0,0.011657995531439515

