Node Id,Row Size (bytes),AverageHdfsReadThreadConcurrency,AverageScannerThreadConcurrency,BytesRead,BytesReadDataNodeCache,BytesReadLocal,BytesReadShortCircuit,DecompressionTime,MaxCompressedTextFileLength,NumColumns,NumDisksAccessed,NumScannerThreadsStarted,PeakMemoryUsage,PerReadThreadRawHdfsThroughput,RowsRead,RowsReturned,RowsReturnedRate,ScanRangesComplete,ScannerThreadsInvoluntaryContextSwitches,ScannerThreadsTotalWallClockTime,DelimiterParseTime,MaterializeTupleTime(*),ScannerThreadsSysTime,ScannerThreadsUserTime,ScannerThreadsVoluntaryContextSwitches,TotalRawHdfsReadTime(*),TotalReadThroughput,Parser Delimiter Cost (Bytes/NS),Materialize Tuple Cost (Bytes/NS)
2,20,0.21,13.78,3027252328,0,3027252328,3027252328,0.0,0,0,8,14,338505728,58610000000.0,464177126,464177126,173550000.0,207,547,3366000000000.0,0,3293000000000.0,687889000.0,47672000000.0,454325,49255000000.0,11780000000.0,0.0,0.17358905235602093
2,20,0.14,13.74,2623737258,0,2623737258,2623737258,0.0,0,0,8,14,338497536,81630000000.0,402698924,402698924,172890000.0,176,567,3039000000000.0,0,2984000000000.0,628898000.0,41121000000.0,393970,30653000000.0,11300000000.0,0.0,0.17290636496350364
2,20,0.18,10.87,2572137997,0,2572137997,2572137997,0.0,0,0,8,11,266833920,62810000000.0,394228839,394228839,182220000.0,176,382,2270000000000.0,0,2210000000000.0,392935000.0,38039000000.0,385619,39053000000.0,11710000000.0,0.0,0.18226021220527044
2,20,0.20,10.86,2480151764,0,2480151764,2480151764,0.0,0,0,8,11,266833920,58050000000.0,380079486,380079486,171630000.0,169,482,2284000000000.0,0,2224000000000.0,483921000.0,37759000000.0,371918,40746000000.0,11240000000.0,0.0,0.1716709512195122
3,8,0.50,1.00,542858,0,542858,542858,0.0,0,0,1,1,1368064,12220000000.0,73049,365,667.0,1,0,546599000.0,0,9360000.0,0.0,9998000.0,5,42362000.0,501591796.875,0.0,0.007804380341880342
1,169,0.33,0.67,38923593,0,38923593,38923593,0.0,0,0,1,1,51347448,45770000000.0,360000,360000,461900.0,1,0,1000000000.0,0,60783000.0,7998000.0,62990000.0,19,811290000.0,24750000000.0,0.0,0.005922708652090223
0,24,0.00,0.00,110543,0,110543,110543,0.0,0,0,1,1,222024,2672640000000.0,1350,1350,13890.0,1,0,97107000.0,0,121990.0,0.0,0.0,5,39404.0,0.0,0.0,0.01106648085908681
7,20,0.15,13.80,3027252328,0,3027252328,3027252328,0.0,0,0,8,14,338505728,77340000000.0,464177126,464177126,171310000.0,207,424,3369000000000.0,0,3302000000000.0,481920000.0,47427000000.0,454280,37326000000.0,11810000000.0,0.0,0.17134629974160207
7,20,0.17,13.80,2623737258,0,2623737258,2623737258,0.0,0,0,8,14,338599152,65550000000.0,402698924,402698924,167870000.0,176,514,3052000000000.0,0,2993000000000.0,521914999.99999994,41618000000.0,394189,38170000000.0,11320000000.0,0.0,0.1679311609674729
7,20,0.17,10.87,2572137997,0,2572137997,2572137997,0.0,0,0,8,11,266153232,66340000000.0,394228839,394228839,173490000.0,176,434,2298000000000.0,0,2245000000000.0,566908000.0,38233000000.0,385817,36975000000.0,11600000000.0,0.0,0.17351621434859155
7,20,0.13,10.82,2480151764,0,2480151764,2480151764,0.0,0,0,8,11,266833920,91070000000.0,380079486,380079486,184090000.0,169,394,2274000000000.0,0,2227000000000.0,349942000.0,37290000000.0,371746,25971000000.0,11260000000.0,0.0,0.1841470377906977
8,8,0.00,1.00,542858,0,542858,542858,0.0,0,0,1,1,1368064,1310720000000.0,73049,365,971.0,1,0,375592000.0,0,9647000.0,0.0,8998000.0,4,395960.0,195312500.0,0.0,0.00757219861096714

