Node Id,Row Size (bytes),AverageHdfsReadThreadConcurrency,AverageScannerThreadConcurrency,BytesRead,BytesReadDataNodeCache,BytesReadLocal,BytesReadShortCircuit,DecompressionTime,MaxCompressedTextFileLength,NumColumns,NumDisksAccessed,NumScannerThreadsStarted,PeakMemoryUsage,PerReadThreadRawHdfsThroughput,RowsRead,RowsReturned,RowsReturnedRate,ScanRangesComplete,ScannerThreadsInvoluntaryContextSwitches,ScannerThreadsTotalWallClockTime,DelimiterParseTime,MaterializeTupleTime(*),ScannerThreadsSysTime,ScannerThreadsUserTime,ScannerThreadsVoluntaryContextSwitches,TotalRawHdfsReadTime(*),TotalReadThroughput,Parser Delimiter Cost (Bytes/NS),Materialize Tuple Cost (Bytes/NS)
1,24,2.80,13.84,1258314964,0,1258314964,1258314964,0.0,0,0,8,15,706282104,34790000000.0,81106937,67699597,107280000.0,36,85,172000000000.0,0,139000000000.0,121973000.0,12688000000.0,64372,34492000000.0,92310000000.0,0.0,0.1283886106406218
1,24,3.83,13.04,1071855430,0,1071855430,1071855430,0.0,0,0,8,14,622497712,23740000000.0,69047741,57723977,85650000.0,31,78,149000000000.0,0,112000000000.0,389931000.0,11109000000.0,75882,43062000000.0,82640000000.0,0.0,0.1024579448682545
1,24,2.22,13.17,979989007,0,979989007,979989007,0.0,0,0,8,15,665304648,39880000000.0,63062779,55965955,44140000.0,28,61,151000000000.0,0,129000000000.0,256954000.0,10660000000.0,56009,23435000000.0,77880000000.0,0.0,0.21488780841040148
1,24,1.64,10.23,791552829,0,791552829,791552829,0.0,0,0,7,11,500372768,46970000000.0,51016069,45551401,38380000.0,23,167,111000000000.0,0,91000000000.0,784875000.0,7876000000.0,107254,16069000000.0,62520000000.0,0.0,0.17755277469213526
5,25,0.00,0.00,116342,0,116342,116342,0.0,0,0,1,1,229192,1423360000000.0,1350,1350,25070.0,1,0,53763000.0,0,98385.0,0.0,0.0,5,78208.0,0.0,0.0,0.013721603903033999
4,25,0.20,1.00,31309016,0,31309016,31309016,0.0,0,0,1,1,39932120,63980000000.0,5380929,5380929,16670000.000000002,1,8,2200000000.0,0,1898000000.0,9998000.0,346947000.0,5152,466653000.0,11940000000.0,0.0,0.07282420136139753
4,25,0.25,1.00,28089011,0,28089011,28089011,0.0,0,0,1,1,33902808,79540000000.0,4823977,4823977,14880000.0,1,8,2034000000.0,0,1727000000.0,7998000.0,287956000.0,4595,336780000.0,13390000000.0,0.0,0.04778410225020456
4,25,0.25,1.00,20993784,0,20993784,20993784,0.0,0,0,1,1,29446360,46030000000.0,3599620,3599620,8210000.000000001,1,5,1758000000.0,0,1333000000.0,18997000.0,212967000.0,3427,434940000.0,10010000000.0,0.0,0.013253563253481603
4,25,0.00,1.00,7077861,0,7077861,7077861,0.0,0,0,1,1,14614528,36090000000.0,1195474,1195474,2740000.0,1,1,965927000.0,0,533426000.00000006,4999000.0,73988000.0,1080,187380000.0,6750000000.0,0.0,0.0031418566824898218
3,8,0.38,3.12,88256103,0,88256103,88256103,0.0,0,0,3,4,110559232,61670000000.0,10844596,10844596,28110000.0,4,7,12190000000.0,0,10601000000.0,17996000.0,547915000.0,10510,1364000000.0,21040000000.0,0.0,0.0713572133027465
3,8,0.60,2.20,59799635,0,59799635,59799635,0.0,0,0,3,3,71373016,60110000000.0,7334764,7334764,26670000.0,3,6,5215000000.0,0,4396000000.0,11997000.0,344946000.0,6951,948776000.0,22810000000.0,0.0,0.06267150704589763
3,8,0.60,2.00,55984072,0,55984072,55984072,0.0,0,0,2,2,71373016,41550000000.0,6903614,6903614,22320000.0,2,1,4733000000.0,0,3874000000.0,23995000.0,341947000.0,6656,1285000000.0,21360000000.0,0.0,0.07947037353557829
3,8,0.75,1.50,40083963,0,40083963,40083963,0.0,0,0,2,2,46030848,40040000000.0,4917026,4917026,14990000.0,2,4,2783000000.0,0,1653000000.0,9997000.0,255960000.0,4722,954764000.0,19110000000.0,0.0,0.029005470680230943
2,75,0.00,1.00,3848530,0,3848530,3848530,0.0,0,0,1,1,5767168,16710000000.0,360000,6478,8210.0,1,0,791478000.0,0,70141000.0,999000.0,69989000.0,9,219629000.0,2029999999.9999998,0.0,0.005132518783593048
0,12,0.00,1.00,532336,0,532336,532336,0.0,0,0,1,1,1345536,14600000000.0,73049,30,71.0,1,0,416485000.0,0,7135000.0,999000.0,5999000.0,7,34770000.0,0.0,0.0,0.01023812193412754

