Starting Impala Shell without Kerberos authentication
Connected to tracing024:21000
Server version: impalad version 2.0.0-cdh5 RELEASE (build ecf30af0b4d6e56ea80297df2189367ada6b7da7)
Query: use `tpcds_text_50`
Query: select c_last_name,
  c_first_name,
  ca_city,
  bought_city,
  ss_ticket_number,
  extended_price,
  extended_tax,
  list_price
from
  (select
    ss_ticket_number,
    ss_customer_sk,
    ca_city bought_city,
    sum(ss_ext_sales_price) extended_price,
    sum(ss_ext_list_price) list_price,
    sum(ss_ext_tax) extended_tax
  from
    store_sales_text,
    date_dim_text,
    store_text,
    household_demographics_text,
    customer_address_text
  where
    store_sales_text.ss_sold_date_sk = date_dim_text.d_date_sk
    and store_sales_text.ss_store_sk = store_text.s_store_sk
    and store_sales_text.ss_hdemo_sk = household_demographics_text.hd_demo_sk
    and store_sales_text.ss_addr_sk = customer_address_text.ca_address_sk
    -- and date_dim_text.d_dom between 1 and 2
    and (household_demographics_text.hd_dep_count = 5
      or household_demographics_text.hd_vehicle_count = 3)
    -- and date_dim_text.d_year in (1999, 1999 + 1, 1999 + 2)
    and store_text.s_city in ('Midway', 'Fairview')
    -- partition key filter
    -- and ss_sold_date_sk in (2451180, 2451181, 2451211, 2451212, 2451239, 2451240, 2451270, 2451271, 2451300, 2451301, 2451331, 
    --                         2451332, 2451361, 2451362, 2451392, 2451393, 2451423, 2451424, 2451453, 2451454, 2451484, 2451485, 
    --                         2451514, 2451515, 2451545, 2451546, 2451576, 2451577, 2451605, 2451606, 2451636, 2451637, 2451666, 
    --                         2451667, 2451697, 2451698, 2451727, 2451728, 2451758, 2451759, 2451789, 2451790, 2451819, 2451820, 
    --                         2451850, 2451851, 2451880, 2451881, 2451911, 2451912, 2451942, 2451943, 2451970, 2451971, 2452001, 
    --                         2452002, 2452031, 2452032, 2452062, 2452063, 2452092, 2452093, 2452123, 2452124, 2452154, 2452155, 
    --                         2452184, 2452185, 2452215, 2452216, 2452245, 2452246) 
    and ss_sold_date_sk between 2451180 and 2451269 -- partition key filter (3 months)
    and d_date between '1999-01-01' and '1999-03-31'
  group by
    ss_ticket_number,
    ss_customer_sk,
    ss_addr_sk,
    ca_city
  ) dn,
  customer_text,
  customer_address_text current_addr
where
  ss_customer_sk = c_customer_sk
  and customer_text.c_current_addr_sk = current_addr.ca_address_sk
  and current_addr.ca_city <> bought_city
order by
  c_last_name,
  ss_ticket_number
limit 100
[?1034h+-------------+--------------+-----------------+-----------------+------------------+-------------------+-------------------+-------------------+
| c_last_name | c_first_name | ca_city         | bought_city     | ss_ticket_number | extended_price    | extended_tax      | list_price        |
+-------------+--------------+-----------------+-----------------+------------------+-------------------+-------------------+-------------------+
| Aaron       | Jon          | Cherry Valley   | Spring Valley   | 5949432          | 16467.24          | 886.9699999999998 | 36673.98          |
| Aaron       | Russell      | Friendship      | Elmwood         | 6360627          | 13852.81          | 664.62            | 23282.21          |
| Aaron       | Ursula       | Fairfield       | Buena Vista     | 11155076         | 16299.53          | 797.8399999999999 | 29276.68          |
| Aaron       | Justin       | Roy             | Pleasant Grove  | 11694931         | 17765.67          | 515.3299999999999 | 29177.3           |
| Abbott      | Victor       | Bunker Hill     | Rocky Point     | 1274929          | 11938.28          | 567.4             | 22489             |
| Abbott      | Sharon       | Langdon         | Five Points     | 1461769          | 9341.629999999999 | 275.05            | 24437.79          |
| Abbott      | Frank        | Gum Springs     | Perkins         | 3031856          | 37196.96999999999 | 2217.06           | 68513.98          |
| Abbott      | Ryan         | Lakeside        | White Oak       | 5832557          | 30596.14          | 1527.93           | 57953.55          |
| Abbott      | Amanda       | White Oak       | Springfield     | 6123076          | 17361.03          | 606.86            | 31574.13          |
| Abbott      | William      | Greenfield      | Midway          | 6323019          | 9428.709999999999 | 364.3399999999999 | 22257.32          |
| Abbott      | Dominic      | Mountain View   | Macedonia       | 6854082          | 4080.77           | 181.12            | 10126             |
| Abbott      | Rosalina     | Sutton          | Green Acres     | 7324273          | 27279.86          | 1576.65           | 56009.98000000001 |
| Abbott      | Samuel       | Union           | Oak Hill        | 7846094          | 33930.57          | 1012.13           | 74412.09999999999 |
| Abbott      | Lisa         | Pine Grove      | Shiloh          | 8601549          | 13269.14          | 837.4799999999999 | 30097.27000000001 |
| Abbott      | Katherine    | Greenfield      | Farmington      | 8696248          | 30180.32          | 817.09            | 50054.13          |
| Abel        | John         | Lakewood        | Greenwood       | 3464248          | 33371.58          | 1208.37           | 62935.02          |
| Abel        | Ida          | Wildwood        | Jackson         | 4266506          | 15647.75          | 594.1700000000001 | 30895.1           |
| Abel        | Latrice      | Fairview        | Highland Park   | 5560397          | 42422.7           | 2014.7            | 73670.14999999999 |
| Abney       | Lynda        | Kingston        | Lincoln         | 8834177          | 37439.34          | 669.6             | 60975.74          |
| Abney       | Daniel       | Mount Olive     | Richfield       | 11425978         | 9586              | 223.7             | 25369.41          |
| Abraham     | Brian        | Springtown      | Valley View     | 2567865          | 38758.69          | 1345.73           | 59548.78000000001 |
| Abraham     | Karen        | Mount Pleasant  | Maple Grove     | 2803308          | 32915.5           | 1025.05           | 68688.38          |
